year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
1952,AE,AE,27.226072,1.8083358,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1962,AE,AE,26.122679,1.1278607,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1979,AE,AE,27.245237,1.7776964,26.917786,14.031917,United Arab Emirates,ARE,26.57978061596333,42141.13826911926,113485.0285,.841615558,802000000,72200000000,9.1856318,1,0,0,0,0,0,AE
1978,AE,AE,27.445238,.90953571,26.917786,14.031917,United Arab Emirates,ARE,30.86943096040276,38130.78782328631,103162.343,.985800564,711000000,55200000000,9.1856318,1,0,0,0,0,0,AE
1983,AE,AE,26.1611,1.0689428,26.917786,14.031917,United Arab Emirates,ARE,24.25223109598571,31561.80602085703,100974.633,1.139606476,1350000000,72400000000,9.1856318,1,0,0,0,0,0,AE
1997,AE,AE,26.60622,2.0550287,26.917786,14.031917,United Arab Emirates,ARE,20.36134816896435,28793.69387707857,67098.04018,3.226872921,5980000000,93400000000,9.1856318,1,0,0,0,0,0,AE
1991,AE,AE,26.152977,1.2973107,26.917786,14.031917,United Arab Emirates,ARE,16.84222248916384,24633.29089908873,71079.76888,2.029873848,2940000000,76900000000,9.1856318,1,0,0,0,0,0,AE
1977,AE,AE,28.611904,1.6539322,26.917786,14.031917,United Arab Emirates,ARE,31.82197522585964,44557.96480616248,123282.3962,.768448412,617000000,56400000000,9.1856318,1,0,0,0,0,0,AE
1970,AE,AE,26.225595,1.5209107,26.917786,14.031917,United Arab Emirates,ARE,18.80464584979111,9755.944377242882,,,,,9.1856318,1,0,0,0,0,0,AE
1959,AE,AE,26.464613,1.6613785,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1953,AE,AE,27.336548,1.5036215,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1956,AE,AE,26.919197,1.1878536,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1973,AE,AE,26.055714,1.4582608,26.917786,14.031917,United Arab Emirates,ARE,23.03612908127596,15219.56068858448,151758.8526,,,,9.1856318,1,0,0,0,0,0,AE
1989,AE,AE,26.13744,.68506074,26.917786,14.031917,United Arab Emirates,ARE,17.79508105584339,22002.90603412476,67476.80546,1.847897291,2220000000,62100000000,9.1856318,1,0,0,0,0,0,AE
1960,AE,AE,26.098244,1.1096892,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1951,AE,AE,27.072828,1.48,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1968,AE,AE,25.654881,1.2799071,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1967,AE,AE,25.881161,1.0734357,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
2000,AE,AE,27.638988,.46994641,26.917786,14.031917,United Arab Emirates,ARE,19.4236693533376,32181.67774247023,62317.83322,3.506874561,8730000000,106000000000,9.1856318,1,0,0,0,0,0,AE
1995,AE,AE,26.72509,2.4110143,26.917786,14.031917,United Arab Emirates,ARE,21.45271755462225,25345.12323995478,65177.93723,2.86866951,4500000000,81700000000,9.1856318,1,0,0,0,0,0,AE
1993,AE,AE,26.591042,.99075007,26.917786,14.031917,United Arab Emirates,ARE,22.10404187604164,22447.19213741197,64677.1565,2.369262695,3190000000,74400000000,9.1856318,1,0,0,0,0,0,AE
1963,AE,AE,26.207262,1.1361572,26.917786,14.031917,United Arab Emirates,ARE,,,,,,,9.1856318,1,0,0,0,0,0,AE
1972,AE,AE,25.624969,2.3952894,26.917786,14.031917,United Arab Emirates,ARE,21.09630824145651,9901.205964700945,,,,,9.1856318,1,0,0,0,0,0,AE
2002,AE,AE,27.918779,.61400717,26.917786,14.031917,United Arab Emirates,ARE,19.40621671988257,32977.35154528554,59709.56329,3.37118578,8610000000,105000000000,9.1856318,1,0,0,0,0,0,AE
1996,AE,AE,27.040833,1.6019536,26.917786,14.031917,United Arab Emirates,ARE,20.836148283251,26942.47478859028,67002.80885,2.874079704,5030000000,84800000000,9.1856318,1,0,0,0,0,0,AE
1990,AE,AE,26.800446,.9855572,26.917786,14.031917,United Arab Emirates,ARE,16.12382693629423,25286.74321877447,75011.46416,1.641307354,2400000000,78800000000,9.1856318,1,0,0,0,0,0,AE
1992,AE,AE,25.457144,.96308213,26.917786,14.031917,United Arab Emirates,ARE,18.70562610437759,24711.70475592479,69016.52178,2.175795078,3080000000,76200000000,9.1856318,1,0,0,0,0,0,AE
1968,AF,AF,10.566977,3.9741719,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1955,AF,AF,11.590393,3.0885525,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1984,AF,AF,11.27446,2.7183502,10.778749,32.430206,Afghanistan,AFG,4.407068810586382,2555.926996246003,,,,,7.4565182,0,0,0,0,1,0,AF
1956,AF,AF,10.984127,4.7949281,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1990,AF,AF,11.892476,3.6315095,10.778749,32.430206,Afghanistan,AFG,8.294710783580506,1750.721558498957,,,,,7.4565182,0,0,0,0,1,0,AF
1988,AF,AF,12.330812,3.631845,10.778749,32.430206,Afghanistan,AFG,4.46130020365861,2095.916976555878,,,,,7.4565182,0,0,0,0,1,0,AF
1993,AF,AF,10.952201,3.2632914,10.778749,32.430206,Afghanistan,AFG,5.171563653455905,1136.883637128945,,,,,7.4565182,0,0,0,0,1,0,AF
1964,AF,AF,9.7592678,3.9014425,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1970,AF,AF,11.71652,2.5648255,10.778749,32.430206,Afghanistan,AFG,1.904522577963423,1731.110272404325,,,,,7.4565182,0,0,0,0,1,0,AF
1999,AF,AF,11.957429,3.0970204,10.778749,32.430206,Afghanistan,AFG,5.44854310437608,880.5576403711145,,,,,7.4565182,0,0,0,0,1,0,AF
1980,AF,AF,11.571247,3.3000555,10.778749,32.430206,Afghanistan,AFG,4.356842752083705,2120.909569430595,,,,,7.4565182,0,0,0,0,1,0,AF
1982,AF,AF,10.671583,3.9213145,10.778749,32.430206,Afghanistan,AFG,4.481719361084743,2423.386060588226,,,,,7.4565182,0,0,0,0,1,0,AF
1991,AF,AF,10.901992,4.5658484,10.778749,32.430206,Afghanistan,AFG,5.228383300065683,1837.043069487336,,,,,7.4565182,0,0,0,0,1,0,AF
1994,AF,AF,11.048944,4.184938,10.778749,32.430206,Afghanistan,AFG,5.217617766117663,1022.053057212257,,,,,7.4565182,0,0,0,0,1,0,AF
1985,AF,AF,11.915269,2.4160576,10.778749,32.430206,Afghanistan,AFG,4.45841904520208,2548.881288841519,,,,,7.4565182,0,0,0,0,1,0,AF
1960,AF,AF,10.927568,3.735651,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1952,AF,AF,10.957292,3.0798802,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
1977,AF,AF,11.661839,2.601424,10.778749,32.430206,Afghanistan,AFG,4.402682988824567,2121.097519501569,,,,,7.4565182,0,0,0,0,1,0,AF
1962,AF,AF,10.693893,3.4770491,10.778749,32.430206,Afghanistan,AFG,,,,,,,7.4565182,0,0,0,0,1,0,AF
2005,AF,AF,11.993439,3.6298854,10.778749,32.430206,Afghanistan,AFG,,,,36.10207367,96900000000,62400000000,7.4565182,0,0,0,0,1,0,AF
1998,AF,AF,11.261457,3.9544332,10.778749,32.430206,Afghanistan,AFG,4.986197840649021,1047.167369078482,,,,,7.4565182,0,0,0,0,1,0,AF
1978,AF,AF,11.200299,3.1291416,10.778749,32.430206,Afghanistan,AFG,4.952181953401198,2205.369552306651,,,,,7.4565182,0,0,0,0,1,0,AF
1989,AF,AF,10.858383,3.4117646,10.778749,32.430206,Afghanistan,AFG,4.454049352604046,1906.918375711914,,,,,7.4565182,0,0,0,0,1,0,AF
